descripcion,Decision
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: amarilla.,Amarilla
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: no penal.,No penal
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
El gol es convertido tras posible mano. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: gol anulado.,Gol anulado
El defensor comete falta dentro del área. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
El árbitro cobra penal por empujón. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
Jugador recibe patada violenta en mitad de cancha. El VAR interviene y recomienda revisar. Resultado: gol válido.,Gol válido
El delantero cae tras contacto mínimo. El VAR interviene y recomienda revisar. Resultado: no intervención.,No intervención
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: offside.,Offside
Revisión por posible offside previo al gol. El VAR interviene y recomienda revisar. Resultado: penal.,Penal
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
Golazo desde fuera del área con posible falta previa. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
El arquero sale mal y choca con el delantero. El VAR interviene y recomienda revisar. Resultado: roja.,Roja
